subject,post,latitude,longitude
Infrastructure Work,Community meeting at Highland this Thursday to discuss the new Broadway development.,33.802422,-84.538992
Park Renovation,Excited about the new renovations at Elm. It's going to be great for the community!,33.748516,-84.368049
Traffic Update,Public transport update: River line will have altered schedules this week.,33.689202,-84.413418
Public Transport Notice,"Avoid Maple during rush hour, construction is causing major delays.",33.709297,-84.516658
Pothole Alert,"Heads up, Main is undergoing some major infrastructure work for the next month.",33.804096,-84.368753
Infrastructure Work,Heard about a new Highland opening on North. Definitely worth checking out!,33.784706,-84.459578
Pothole Alert,Heard about a new Broadway opening on Main. Definitely worth checking out!,33.652752,-84.34842
New Restaurant Opening,Excited about the new renovations at 5th. It's going to be great for the community!,33.802588,-84.376014
New Restaurant Opening,Public transport update: Peachtree line will have altered schedules this week.,33.858054,-84.422294
Traffic Update,Excited about the new renovations at Elm. It's going to be great for the community!,33.665584,-84.320821
Park Renovation,Heard about a new 5th opening on Elm. Definitely worth checking out!,33.811931,-84.406592
Infrastructure Work,The annual street fair at Maple is this Saturday. Great food and local crafts!,33.678049,-84.469983
Pothole Alert,"Heads up, North is undergoing some major infrastructure work for the next month.",33.746957,-84.428707
New Restaurant Opening,The annual street fair at Broadway is this Saturday. Great food and local crafts!,33.720867,-84.447929
Public Transport Notice,Watch out for a giant pothole on Peachtree Street. Be careful driving!,33.841042,-84.527802
Park Renovation,Watch out for a giant pothole on River Street. Be careful driving!,33.725202,-84.370611
Street Fair,Public transport update: 5th line will have altered schedules this week.,33.838514,-84.343514
Pothole Alert,"Heads up, Maple is undergoing some major infrastructure work for the next month.",33.753645,-84.434444
Community Meeting,Watch out for a giant pothole on Highland Street. Be careful driving!,33.771049,-84.44267
Community Meeting,The annual street fair at Peachtree is this Saturday. Great food and local crafts!,33.846085,-84.437194
Public Transport Notice,Watch out for a giant pothole on North Street. Be careful driving!,33.766849,-84.512877
Local Event,Heard about a new North opening on Main. Definitely worth checking out!,33.671875,-84.524087
Community Meeting,The annual street fair at Highland is this Saturday. Great food and local crafts!,33.664676,-84.385215
New Restaurant Opening,Don't miss the Peachtree happening this weekend at Elm. Always a good time!,33.731969,-84.364341
Pothole Alert,"Heads up, Maple is undergoing some major infrastructure work for the next month.",33.780774,-84.395681
Park Renovation,Heard about a new 5th opening on Maple. Definitely worth checking out!,33.720787,-84.421387
Local Event,Heard about a new Broadway opening on Peachtree. Definitely worth checking out!,33.857512,-84.312406
Pothole Alert,Watch out for a giant pothole on Maple Street. Be careful driving!,33.780343,-84.459939
Park Renovation,Public transport update: Main line will have altered schedules this week.,33.835397,-84.507417
Community Meeting,"Avoid 5th during rush hour, construction is causing major delays.",33.851588,-84.294028
Public Transport Notice,Heard about a new 5th opening on Main. Definitely worth checking out!,33.66217,-84.378451
Community Meeting,Public transport update: Broadway line will have altered schedules this week.,33.835138,-84.444977
Traffic Update,Excited about the new renovations at Broadway. It's going to be great for the community!,33.847994,-84.326713
Local Event,Community meeting at North this Thursday to discuss the new Maple development.,33.724159,-84.502816
Local Event,The annual street fair at 5th is this Saturday. Great food and local crafts!,33.780745,-84.328006
Community Meeting,Watch out for a giant pothole on Highland Street. Be careful driving!,33.679954,-84.539497
Park Renovation,"Avoid River during rush hour, construction is causing major delays.",33.847639,-84.367366
Traffic Update,Don't miss the River happening this weekend at River. Always a good time!,33.794843,-84.476669
Pothole Alert,The annual street fair at North is this Saturday. Great food and local crafts!,33.76463,-84.39422
Pothole Alert,"Heads up, Highland is undergoing some major infrastructure work for the next month.",33.783678,-84.357685
Infrastructure Work,Community meeting at Peachtree this Thursday to discuss the new Highland development.,33.771686,-84.516404
Local Event,Community meeting at 5th this Thursday to discuss the new Highland development.,33.879739,-84.506521
Community Meeting,Heard about a new Broadway opening on Broadway. Definitely worth checking out!,33.697712,-84.305861
Infrastructure Work,"Heads up, Highland is undergoing some major infrastructure work for the next month.",33.82669,-84.36133
Local Event,"Avoid Highland during rush hour, construction is causing major delays.",33.770892,-84.395573
Public Transport Notice,"Heads up, Maple is undergoing some major infrastructure work for the next month.",33.705518,-84.400603
Community Meeting,Heard about a new 5th opening on Broadway. Definitely worth checking out!,33.808116,-84.462491
Community Meeting,"Heads up, 5th is undergoing some major infrastructure work for the next month.",33.727097,-84.350146
Local Event,Watch out for a giant pothole on Maple Street. Be careful driving!,33.831101,-84.381167
Community Meeting,Community meeting at Highland this Thursday to discuss the new Peachtree development.,33.869346,-84.353584
Traffic Update,Don't miss the Main happening this weekend at North. Always a good time!,33.885521,-84.303528
Infrastructure Work,Don't miss the 5th happening this weekend at Main. Always a good time!,33.763494,-84.343969
Infrastructure Work,Community meeting at Highland this Thursday to discuss the new Main development.,33.711162,-84.36798
Local Event,Heard about a new Peachtree opening on Elm. Definitely worth checking out!,33.779804,-84.334788
Pothole Alert,Excited about the new renovations at Peachtree. It's going to be great for the community!,33.858822,-84.403516
New Restaurant Opening,Public transport update: Highland line will have altered schedules this week.,33.870032,-84.52595
Public Transport Notice,Watch out for a giant pothole on Broadway Street. Be careful driving!,33.710495,-84.549615
Traffic Update,"Avoid Peachtree during rush hour, construction is causing major delays.",33.753145,-84.433825
Pothole Alert,"Heads up, Highland is undergoing some major infrastructure work for the next month.",33.863042,-84.474632
Community Meeting,Community meeting at Peachtree this Thursday to discuss the new 5th development.,33.656761,-84.537337
Pothole Alert,"Heads up, Elm is undergoing some major infrastructure work for the next month.",33.766653,-84.449795
Public Transport Notice,Community meeting at Highland this Thursday to discuss the new River development.,33.84374,-84.369783
Infrastructure Work,"Avoid 5th during rush hour, construction is causing major delays.",33.653552,-84.504569
Infrastructure Work,Don't miss the River happening this weekend at Elm. Always a good time!,33.870139,-84.540081
Traffic Update,Public transport update: River line will have altered schedules this week.,33.769472,-84.50536
New Restaurant Opening,Excited about the new renovations at Peachtree. It's going to be great for the community!,33.801559,-84.403298
Local Event,Community meeting at Peachtree this Thursday to discuss the new Highland development.,33.673509,-84.418871
New Restaurant Opening,"Avoid Elm during rush hour, construction is causing major delays.",33.67432,-84.363869
Community Meeting,Don't miss the 5th happening this weekend at 5th. Always a good time!,33.737346,-84.406553
Park Renovation,Heard about a new Broadway opening on Maple. Definitely worth checking out!,33.730869,-84.322726
Public Transport Notice,Community meeting at 5th this Thursday to discuss the new Peachtree development.,33.846126,-84.344757
Infrastructure Work,"Heads up, Broadway is undergoing some major infrastructure work for the next month.",33.717984,-84.405141
Public Transport Notice,The annual street fair at Highland is this Saturday. Great food and local crafts!,33.8565,-84.521077
Park Renovation,Public transport update: Main line will have altered schedules this week.,33.649599,-84.360862
Park Renovation,Excited about the new renovations at Maple. It's going to be great for the community!,33.765038,-84.459722
Pothole Alert,The annual street fair at North is this Saturday. Great food and local crafts!,33.684107,-84.53157
Infrastructure Work,Heard about a new Elm opening on Broadway. Definitely worth checking out!,33.795909,-84.350481
Street Fair,"Avoid North during rush hour, construction is causing major delays.",33.843839,-84.492347
Infrastructure Work,The annual street fair at Highland is this Saturday. Great food and local crafts!,33.802944,-84.294053
Park Renovation,Public transport update: 5th line will have altered schedules this week.,33.67274,-84.47108
Traffic Update,Watch out for a giant pothole on River Street. Be careful driving!,33.672516,-84.403021
Street Fair,Public transport update: Highland line will have altered schedules this week.,33.771041,-84.298688
Local Event,Heard about a new Main opening on 5th. Definitely worth checking out!,33.793332,-84.448558
Infrastructure Work,"Heads up, Elm is undergoing some major infrastructure work for the next month.",33.830469,-84.52988
Street Fair,Public transport update: Broadway line will have altered schedules this week.,33.802693,-84.384747
Park Renovation,Community meeting at Broadway this Thursday to discuss the new Highland development.,33.745159,-84.381065
Infrastructure Work,Public transport update: Highland line will have altered schedules this week.,33.685129,-84.541772
Street Fair,Don't miss the Broadway happening this weekend at North. Always a good time!,33.695156,-84.295783
Park Renovation,Excited about the new renovations at Maple. It's going to be great for the community!,33.847537,-84.517852
Pothole Alert,"Avoid North during rush hour, construction is causing major delays.",33.701113,-84.425727
Pothole Alert,Heard about a new Broadway opening on Highland. Definitely worth checking out!,33.815909,-84.458759
Pothole Alert,Excited about the new renovations at 5th. It's going to be great for the community!,33.884801,-84.357136
Pothole Alert,Heard about a new 5th opening on Highland. Definitely worth checking out!,33.651292,-84.415807
Public Transport Notice,"Avoid River during rush hour, construction is causing major delays.",33.849033,-84.384845
Street Fair,The annual street fair at North is this Saturday. Great food and local crafts!,33.830929,-84.381435
Public Transport Notice,Watch out for a giant pothole on Peachtree Street. Be careful driving!,33.801416,-84.536315
Community Meeting,Community meeting at Peachtree this Thursday to discuss the new Highland development.,33.697312,-84.310646
Community Meeting,Community meeting at Main this Thursday to discuss the new River development.,33.821258,-84.456445
Park Renovation,Public transport update: River line will have altered schedules this week.,33.873372,-84.350742
Public Transport Notice,Heard about a new Maple opening on Highland. Definitely worth checking out!,33.838632,-84.495868
New Restaurant Opening,Excited about the new renovations at Broadway. It's going to be great for the community!,33.72606,-84.310958
Local Event,"Avoid North during rush hour, construction is causing major delays.",33.765045,-84.426713
New Restaurant Opening,Heard about a new Maple opening on Main. Definitely worth checking out!,33.80432,-84.541403
Park Renovation,"Avoid Peachtree during rush hour, construction is causing major delays.",33.867884,-84.359331
Street Fair,"Heads up, Peachtree is undergoing some major infrastructure work for the next month.",33.697184,-84.346853
Traffic Update,"Heads up, Peachtree is undergoing some major infrastructure work for the next month.",33.737931,-84.412825
Street Fair,Watch out for a giant pothole on River Street. Be careful driving!,33.706775,-84.426625
Local Event,Community meeting at 5th this Thursday to discuss the new River development.,33.836736,-84.534511
Community Meeting,Don't miss the Peachtree happening this weekend at North. Always a good time!,33.823817,-84.292321
Pothole Alert,The annual street fair at North is this Saturday. Great food and local crafts!,33.681913,-84.435059
Park Renovation,The annual street fair at Elm is this Saturday. Great food and local crafts!,33.665766,-84.365063
Park Renovation,"Heads up, Highland is undergoing some major infrastructure work for the next month.",33.741728,-84.327355
Infrastructure Work,Don't miss the Peachtree happening this weekend at Elm. Always a good time!,33.766948,-84.293386
Park Renovation,Community meeting at Broadway this Thursday to discuss the new 5th development.,33.854866,-84.506288
Pothole Alert,"Heads up, Elm is undergoing some major infrastructure work for the next month.",33.743542,-84.35401
Park Renovation,Public transport update: 5th line will have altered schedules this week.,33.651424,-84.452068
Community Meeting,The annual street fair at Peachtree is this Saturday. Great food and local crafts!,33.792014,-84.465328
Street Fair,Heard about a new Peachtree opening on River. Definitely worth checking out!,33.839383,-84.413072
Public Transport Notice,Public transport update: Main line will have altered schedules this week.,33.688373,-84.295077
Street Fair,Community meeting at Peachtree this Thursday to discuss the new Elm development.,33.865723,-84.420496
Community Meeting,"Heads up, Peachtree is undergoing some major infrastructure work for the next month.",33.855388,-84.379114
Community Meeting,Watch out for a giant pothole on 5th Street. Be careful driving!,33.75662,-84.343808
Local Event,"Avoid 5th during rush hour, construction is causing major delays.",33.758392,-84.397918
Local Event,Heard about a new River opening on Highland. Definitely worth checking out!,33.871815,-84.41716
Public Transport Notice,Watch out for a giant pothole on Highland Street. Be careful driving!,33.66433,-84.352744
Community Meeting,"Heads up, North is undergoing some major infrastructure work for the next month.",33.676392,-84.502279
Street Fair,Watch out for a giant pothole on Broadway Street. Be careful driving!,33.80117,-84.425033
Public Transport Notice,Public transport update: Elm line will have altered schedules this week.,33.64942,-84.39456
Park Renovation,"Avoid Peachtree during rush hour, construction is causing major delays.",33.839184,-84.460512
Pothole Alert,Watch out for a giant pothole on 5th Street. Be careful driving!,33.685373,-84.350314
Street Fair,Community meeting at North this Thursday to discuss the new Peachtree development.,33.779203,-84.393162
Traffic Update,Excited about the new renovations at Peachtree. It's going to be great for the community!,33.881551,-84.550895
Local Event,Don't miss the Peachtree happening this weekend at 5th. Always a good time!,33.819333,-84.354023
Pothole Alert,Don't miss the Maple happening this weekend at Maple. Always a good time!,33.787509,-84.534196
Local Event,"Heads up, River is undergoing some major infrastructure work for the next month.",33.698101,-84.446511
Community Meeting,Watch out for a giant pothole on Main Street. Be careful driving!,33.765279,-84.435235
Pothole Alert,Heard about a new Broadway opening on 5th. Definitely worth checking out!,33.667348,-84.431819
Park Renovation,Excited about the new renovations at Main. It's going to be great for the community!,33.772878,-84.295292
Traffic Update,Excited about the new renovations at Highland. It's going to be great for the community!,33.84149,-84.412591
Infrastructure Work,"Avoid 5th during rush hour, construction is causing major delays.",33.727781,-84.418105
Local Event,The annual street fair at Maple is this Saturday. Great food and local crafts!,33.8772,-84.450847
Infrastructure Work,Heard about a new Broadway opening on Elm. Definitely worth checking out!,33.853056,-84.367097
New Restaurant Opening,"Avoid Peachtree during rush hour, construction is causing major delays.",33.79948,-84.479041
Street Fair,Community meeting at Peachtree this Thursday to discuss the new Highland development.,33.736133,-84.508077
Street Fair,Excited about the new renovations at Highland. It's going to be great for the community!,33.804929,-84.414704
Public Transport Notice,The annual street fair at Elm is this Saturday. Great food and local crafts!,33.757239,-84.478956
Street Fair,Public transport update: Elm line will have altered schedules this week.,33.762329,-84.488637
Local Event,The annual street fair at Broadway is this Saturday. Great food and local crafts!,33.841235,-84.446859
Street Fair,Excited about the new renovations at Main. It's going to be great for the community!,33.871241,-84.432353
Public Transport Notice,Heard about a new North opening on North. Definitely worth checking out!,33.780838,-84.318454
Infrastructure Work,Don't miss the Broadway happening this weekend at North. Always a good time!,33.770716,-84.54999
Community Meeting,Community meeting at River this Thursday to discuss the new 5th development.,33.824534,-84.53995
New Restaurant Opening,Community meeting at Broadway this Thursday to discuss the new Peachtree development.,33.78193,-84.509179
Community Meeting,"Avoid North during rush hour, construction is causing major delays.",33.740309,-84.365889
Street Fair,Don't miss the Elm happening this weekend at North. Always a good time!,33.759574,-84.484275
Local Event,Community meeting at 5th this Thursday to discuss the new Maple development.,33.750076,-84.317968
Street Fair,Don't miss the Elm happening this weekend at Maple. Always a good time!,33.758563,-84.342278
Local Event,Excited about the new renovations at Elm. It's going to be great for the community!,33.776589,-84.533864
Park Renovation,Heard about a new North opening on Maple. Definitely worth checking out!,33.833167,-84.474151
Infrastructure Work,Don't miss the Main happening this weekend at North. Always a good time!,33.707691,-84.368895
Street Fair,Community meeting at Main this Thursday to discuss the new 5th development.,33.690546,-84.4095
Traffic Update,"Heads up, North is undergoing some major infrastructure work for the next month.",33.726885,-84.541159
Street Fair,Watch out for a giant pothole on River Street. Be careful driving!,33.880171,-84.400715
Traffic Update,Excited about the new renovations at Broadway. It's going to be great for the community!,33.727766,-84.43643
Local Event,Excited about the new renovations at Peachtree. It's going to be great for the community!,33.784585,-84.54682
Local Event,"Heads up, 5th is undergoing some major infrastructure work for the next month.",33.730217,-84.545503
Park Renovation,Watch out for a giant pothole on 5th Street. Be careful driving!,33.667028,-84.404572
Infrastructure Work,Don't miss the River happening this weekend at Elm. Always a good time!,33.692613,-84.306019
Park Renovation,"Heads up, 5th is undergoing some major infrastructure work for the next month.",33.677114,-84.310875
Community Meeting,Community meeting at River this Thursday to discuss the new Main development.,33.778341,-84.33533
Local Event,Watch out for a giant pothole on North Street. Be careful driving!,33.790697,-84.405408
Park Renovation,Public transport update: Highland line will have altered schedules this week.,33.694612,-84.320724
Infrastructure Work,"Avoid Main during rush hour, construction is causing major delays.",33.701092,-84.469401
Community Meeting,Watch out for a giant pothole on Peachtree Street. Be careful driving!,33.878339,-84.418789
Park Renovation,Public transport update: Maple line will have altered schedules this week.,33.655739,-84.527758
Pothole Alert,Watch out for a giant pothole on North Street. Be careful driving!,33.707799,-84.437878
Street Fair,Excited about the new renovations at 5th. It's going to be great for the community!,33.74583,-84.349263
Traffic Update,Community meeting at Peachtree this Thursday to discuss the new River development.,33.656765,-84.465775
Park Renovation,Watch out for a giant pothole on Highland Street. Be careful driving!,33.69806,-84.404693
Infrastructure Work,Excited about the new renovations at Broadway. It's going to be great for the community!,33.817028,-84.297932
Infrastructure Work,Don't miss the Highland happening this weekend at Peachtree. Always a good time!,33.664842,-84.339245
Street Fair,"Avoid Peachtree during rush hour, construction is causing major delays.",33.852634,-84.34002
Street Fair,Community meeting at Highland this Thursday to discuss the new Main development.,33.694812,-84.4373
Infrastructure Work,The annual street fair at Elm is this Saturday. Great food and local crafts!,33.725782,-84.52565
Park Renovation,The annual street fair at North is this Saturday. Great food and local crafts!,33.815581,-84.369405
Local Event,"Avoid North during rush hour, construction is causing major delays.",33.653271,-84.349048
Park Renovation,Watch out for a giant pothole on Main Street. Be careful driving!,33.838088,-84.435906
Local Event,The annual street fair at North is this Saturday. Great food and local crafts!,33.674828,-84.435165
Local Event,Public transport update: Broadway line will have altered schedules this week.,33.811481,-84.400987
Community Meeting,Excited about the new renovations at Elm. It's going to be great for the community!,33.668463,-84.544435
Pothole Alert,Watch out for a giant pothole on Elm Street. Be careful driving!,33.721406,-84.410923
Pothole Alert,"Avoid River during rush hour, construction is causing major delays.",33.761528,-84.501703
Traffic Update,Community meeting at River this Thursday to discuss the new 5th development.,33.857751,-84.320799
Infrastructure Work,Don't miss the Elm happening this weekend at Main. Always a good time!,33.816666,-84.342824
New Restaurant Opening,"Heads up, North is undergoing some major infrastructure work for the next month.",33.65528,-84.505024
Infrastructure Work,Public transport update: Elm line will have altered schedules this week.,33.822636,-84.379335
Local Event,"Avoid Maple during rush hour, construction is causing major delays.",33.8533,-84.525272
Street Fair,"Heads up, 5th is undergoing some major infrastructure work for the next month.",33.828138,-84.465486
Street Fair,"Heads up, Main is undergoing some major infrastructure work for the next month.",33.670832,-84.517047
Park Renovation,Don't miss the Elm happening this weekend at Maple. Always a good time!,33.794623,-84.371196
New Restaurant Opening,Public transport update: North line will have altered schedules this week.,33.679776,-84.454816
New Restaurant Opening,Watch out for a giant pothole on Main Street. Be careful driving!,33.784433,-84.447069
Infrastructure Work,Excited about the new renovations at 5th. It's going to be great for the community!,33.676745,-84.416307
New Restaurant Opening,Excited about the new renovations at 5th. It's going to be great for the community!,33.714293,-84.532885
Park Renovation,Community meeting at Peachtree this Thursday to discuss the new Highland development.,33.748363,-84.550726
Street Fair,Heard about a new North opening on Peachtree. Definitely worth checking out!,33.732351,-84.54917
Park Renovation,The annual street fair at North is this Saturday. Great food and local crafts!,33.828263,-84.548118
Community Meeting,Excited about the new renovations at River. It's going to be great for the community!,33.813395,-84.361056
Public Transport Notice,Community meeting at River this Thursday to discuss the new North development.,33.663569,-84.545013
Local Event,"Heads up, Elm is undergoing some major infrastructure work for the next month.",33.81404,-84.300007
Local Event,"Avoid Maple during rush hour, construction is causing major delays.",33.713174,-84.48474
Street Fair,Excited about the new renovations at Broadway. It's going to be great for the community!,33.845671,-84.309099
Infrastructure Work,Watch out for a giant pothole on North Street. Be careful driving!,33.748242,-84.448513
Traffic Update,Community meeting at River this Thursday to discuss the new 5th development.,33.819488,-84.419582
Pothole Alert,Don't miss the Broadway happening this weekend at Highland. Always a good time!,33.707941,-84.350201
Traffic Update,"Avoid North during rush hour, construction is causing major delays.",33.6941,-84.44308
Local Event,"Heads up, Maple is undergoing some major infrastructure work for the next month.",33.667828,-84.294841
Park Renovation,"Heads up, Highland is undergoing some major infrastructure work for the next month.",33.674686,-84.470587
Infrastructure Work,Excited about the new renovations at Peachtree. It's going to be great for the community!,33.753792,-84.423191
Infrastructure Work,The annual street fair at Maple is this Saturday. Great food and local crafts!,33.744252,-84.356303
Traffic Update,Heard about a new Maple opening on Main. Definitely worth checking out!,33.761867,-84.543529
Park Renovation,The annual street fair at North is this Saturday. Great food and local crafts!,33.783464,-84.48216
Local Event,Don't miss the River happening this weekend at 5th. Always a good time!,33.757201,-84.415341
Park Renovation,Community meeting at Peachtree this Thursday to discuss the new Highland development.,33.862808,-84.454967
New Restaurant Opening,Community meeting at North this Thursday to discuss the new Peachtree development.,33.754796,-84.381329
Street Fair,Heard about a new Main opening on River. Definitely worth checking out!,33.860336,-84.527896
Pothole Alert,Excited about the new renovations at North. It's going to be great for the community!,33.674634,-84.325465
Public Transport Notice,Watch out for a giant pothole on Maple Street. Be careful driving!,33.675662,-84.305407
Traffic Update,Community meeting at 5th this Thursday to discuss the new Main development.,33.796433,-84.356241
Community Meeting,Community meeting at Highland this Thursday to discuss the new Broadway development.,33.671174,-84.546581
Pothole Alert,Don't miss the Elm happening this weekend at Main. Always a good time!,33.875044,-84.440686
Community Meeting,Watch out for a giant pothole on River Street. Be careful driving!,33.873048,-84.462706
New Restaurant Opening,"Avoid 5th during rush hour, construction is causing major delays.",33.773675,-84.47987
Local Event,Don't miss the North happening this weekend at Broadway. Always a good time!,33.744222,-84.313436
Community Meeting,Community meeting at Elm this Thursday to discuss the new Main development.,33.711514,-84.537381
Pothole Alert,Watch out for a giant pothole on Elm Street. Be careful driving!,33.749173,-84.333328
Park Renovation,Community meeting at 5th this Thursday to discuss the new 5th development.,33.727356,-84.481407
Community Meeting,The annual street fair at Highland is this Saturday. Great food and local crafts!,33.725321,-84.519041
Park Renovation,The annual street fair at Elm is this Saturday. Great food and local crafts!,33.814618,-84.328401
Infrastructure Work,Public transport update: Peachtree line will have altered schedules this week.,33.871715,-84.393435
Pothole Alert,Excited about the new renovations at Maple. It's going to be great for the community!,33.745899,-84.500208
Pothole Alert,Watch out for a giant pothole on Main Street. Be careful driving!,33.749478,-84.367311
Community Meeting,Don't miss the Main happening this weekend at Broadway. Always a good time!,33.872576,-84.523042
Traffic Update,Excited about the new renovations at Elm. It's going to be great for the community!,33.883006,-84.410711
Traffic Update,Watch out for a giant pothole on River Street. Be careful driving!,33.776508,-84.453877
Pothole Alert,The annual street fair at Main is this Saturday. Great food and local crafts!,33.679651,-84.374622
Traffic Update,The annual street fair at Peachtree is this Saturday. Great food and local crafts!,33.778759,-84.516279
Pothole Alert,Public transport update: Main line will have altered schedules this week.,33.737694,-84.419221
Traffic Update,Public transport update: Peachtree line will have altered schedules this week.,33.825525,-84.462336
Public Transport Notice,Community meeting at Peachtree this Thursday to discuss the new Main development.,33.735087,-84.384059
Community Meeting,"Heads up, Broadway is undergoing some major infrastructure work for the next month.",33.807019,-84.372315
Public Transport Notice,The annual street fair at Elm is this Saturday. Great food and local crafts!,33.693082,-84.428583
Infrastructure Work,Excited about the new renovations at 5th. It's going to be great for the community!,33.692592,-84.465432
Pothole Alert,Don't miss the Elm happening this weekend at Elm. Always a good time!,33.761091,-84.378682
New Restaurant Opening,The annual street fair at River is this Saturday. Great food and local crafts!,33.785637,-84.411702
New Restaurant Opening,Don't miss the Broadway happening this weekend at River. Always a good time!,33.763784,-84.429697
Local Event,Excited about the new renovations at North. It's going to be great for the community!,33.861947,-84.489833
New Restaurant Opening,The annual street fair at Broadway is this Saturday. Great food and local crafts!,33.689748,-84.522707
Public Transport Notice,The annual street fair at River is this Saturday. Great food and local crafts!,33.690236,-84.434799
Public Transport Notice,Watch out for a giant pothole on 5th Street. Be careful driving!,33.805382,-84.395053
Pothole Alert,Community meeting at Maple this Thursday to discuss the new Highland development.,33.729052,-84.444193
Street Fair,"Avoid Main during rush hour, construction is causing major delays.",33.751651,-84.302333
Pothole Alert,Public transport update: Broadway line will have altered schedules this week.,33.883553,-84.375815
Traffic Update,Don't miss the Main happening this weekend at North. Always a good time!,33.769334,-84.460097
Street Fair,"Avoid Elm during rush hour, construction is causing major delays.",33.864068,-84.459514
Infrastructure Work,"Heads up, Peachtree is undergoing some major infrastructure work for the next month.",33.759263,-84.294508
Infrastructure Work,Public transport update: 5th line will have altered schedules this week.,33.658505,-84.426082
Pothole Alert,"Avoid Elm during rush hour, construction is causing major delays.",33.80055,-84.531452
Traffic Update,Excited about the new renovations at Broadway. It's going to be great for the community!,33.707558,-84.369398
Public Transport Notice,Public transport update: 5th line will have altered schedules this week.,33.653217,-84.386192
Park Renovation,Public transport update: North line will have altered schedules this week.,33.81639,-84.491787
Community Meeting,Watch out for a giant pothole on Peachtree Street. Be careful driving!,33.76019,-84.415083
Street Fair,Don't miss the North happening this weekend at Broadway. Always a good time!,33.747207,-84.43837
Infrastructure Work,The annual street fair at 5th is this Saturday. Great food and local crafts!,33.705549,-84.54156
Infrastructure Work,"Avoid 5th during rush hour, construction is causing major delays.",33.841405,-84.301774
Public Transport Notice,Don't miss the Highland happening this weekend at North. Always a good time!,33.836411,-84.436383
Traffic Update,The annual street fair at North is this Saturday. Great food and local crafts!,33.743251,-84.339665
Traffic Update,Excited about the new renovations at Maple. It's going to be great for the community!,33.651048,-84.393006
Traffic Update,Watch out for a giant pothole on Main Street. Be careful driving!,33.767682,-84.346397
Traffic Update,Watch out for a giant pothole on Maple Street. Be careful driving!,33.687026,-84.452795
Park Renovation,Excited about the new renovations at North. It's going to be great for the community!,33.814149,-84.520531
Pothole Alert,Public transport update: North line will have altered schedules this week.,33.821916,-84.469195
Local Event,Community meeting at River this Thursday to discuss the new 5th development.,33.78873,-84.529665
Traffic Update,"Avoid Elm during rush hour, construction is causing major delays.",33.742452,-84.400634
New Restaurant Opening,Excited about the new renovations at 5th. It's going to be great for the community!,33.695216,-84.475387
Local Event,Watch out for a giant pothole on Highland Street. Be careful driving!,33.806435,-84.331793
Pothole Alert,Public transport update: Highland line will have altered schedules this week.,33.758863,-84.521582
Local Event,Community meeting at Elm this Thursday to discuss the new Main development.,33.698975,-84.32643
Public Transport Notice,Heard about a new River opening on Highland. Definitely worth checking out!,33.872503,-84.336148
Public Transport Notice,"Avoid Main during rush hour, construction is causing major delays.",33.734384,-84.525
New Restaurant Opening,Heard about a new Maple opening on Broadway. Definitely worth checking out!,33.764962,-84.503618
Public Transport Notice,Watch out for a giant pothole on Highland Street. Be careful driving!,33.809844,-84.347132
New Restaurant Opening,Public transport update: Maple line will have altered schedules this week.,33.717043,-84.501891
Park Renovation,Community meeting at North this Thursday to discuss the new Peachtree development.,33.752292,-84.407305
Traffic Update,Excited about the new renovations at Elm. It's going to be great for the community!,33.849937,-84.388377
Traffic Update,Don't miss the River happening this weekend at Maple. Always a good time!,33.852318,-84.424124
Infrastructure Work,"Heads up, Peachtree is undergoing some major infrastructure work for the next month.",33.763439,-84.537152
Local Event,The annual street fair at 5th is this Saturday. Great food and local crafts!,33.721724,-84.4557
New Restaurant Opening,Heard about a new Main opening on Maple. Definitely worth checking out!,33.694782,-84.502069
Street Fair,The annual street fair at Highland is this Saturday. Great food and local crafts!,33.864693,-84.413575
New Restaurant Opening,Excited about the new renovations at Maple. It's going to be great for the community!,33.804233,-84.513969
New Restaurant Opening,"Avoid Maple during rush hour, construction is causing major delays.",33.79286,-84.549689
Public Transport Notice,Community meeting at Peachtree this Thursday to discuss the new Maple development.,33.786239,-84.490766
Community Meeting,Heard about a new Highland opening on River. Definitely worth checking out!,33.684324,-84.361208
Pothole Alert,"Heads up, Maple is undergoing some major infrastructure work for the next month.",33.684388,-84.478355
Street Fair,"Avoid 5th during rush hour, construction is causing major delays.",33.712071,-84.528466
Infrastructure Work,"Heads up, 5th is undergoing some major infrastructure work for the next month.",33.76184,-84.466695
Street Fair,Community meeting at Maple this Thursday to discuss the new Highland development.,33.743666,-84.448826
Community Meeting,Excited about the new renovations at North. It's going to be great for the community!,33.729295,-84.493252
Street Fair,Don't miss the Broadway happening this weekend at Elm. Always a good time!,33.740356,-84.338353
Community Meeting,The annual street fair at 5th is this Saturday. Great food and local crafts!,33.657485,-84.306581
Public Transport Notice,Watch out for a giant pothole on River Street. Be careful driving!,33.688204,-84.52511
Infrastructure Work,Heard about a new Peachtree opening on 5th. Definitely worth checking out!,33.785429,-84.469459
Pothole Alert,Don't miss the Broadway happening this weekend at Highland. Always a good time!,33.826241,-84.492574
Local Event,"Avoid Main during rush hour, construction is causing major delays.",33.831151,-84.363392
Local Event,The annual street fair at North is this Saturday. Great food and local crafts!,33.674151,-84.426111
Local Event,Heard about a new Maple opening on North. Definitely worth checking out!,33.880273,-84.329673
Community Meeting,Don't miss the Maple happening this weekend at Highland. Always a good time!,33.861926,-84.448381
